instance,source,local,sha256,present,pool,original_local,original_sha256,cleared_credential_fields
django__django-12143,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/mcts/django__django-12143/trajectory.json,paper/figure-06/data/inputs/adaptive/claude_mcts__django__django-12143/trajectory.json,82a45cb06e69af783cf302374d02f8be8d99bcee6fabd0cb05a43b247731ddc1,True,claude/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/claude/mcts/django__django-12143/trajectory.json,5388a607986717452e06a4b02fcfa07d787a06761c37527fe52b6889b1ecce5e,82
django__django-12419,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/django__django-12419/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__django__django-12419/trajectory.json,91397a266a92107d413afd7276984273aed22308e6ff0bf0550268af2b9bfe59,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/django__django-12419/trajectory.json,91397a266a92107d413afd7276984273aed22308e6ff0bf0550268af2b9bfe59,0
django__django-13410,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/mcts/django__django-13410/trajectory.json,paper/figure-06/data/inputs/adaptive/claude_mcts__django__django-13410/trajectory.json,d5d43a38be4b33870cb6628d8b49ed39f46917d428075e602e7e88d292421fed,True,claude/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/claude/mcts/django__django-13410/trajectory.json,326b3ae73b42980bc747d1579d7e86cf1c8491c629deada0c6bf8ff9dfa52c58,97
django__django-12276,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/mcts/django__django-12276/trajectory.json,paper/figure-06/data/inputs/adaptive/claude_mcts__django__django-12276/trajectory.json,6ac5f6f5ed24ca6b6520e3b236b239650263c42adb2ce43f7488c3cb7c52fe20,True,claude/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/claude/mcts/django__django-12276/trajectory.json,d8492285daac9396231442bef5ea4ab3adf8233ad53f7c5c593e1a0f21b85080,184
pydata__xarray-4075,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/pydata__xarray-4075/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__pydata__xarray-4075/trajectory.json,30652d5cc86fbf9fc499d16b363c17746534b4681dfc5af22838b70c1e037bdb,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/pydata__xarray-4075/trajectory.json,30652d5cc86fbf9fc499d16b363c17746534b4681dfc5af22838b70c1e037bdb,0
pydata__xarray-4356,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/pydata__xarray-4356/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__pydata__xarray-4356/trajectory.json,853ba11b707bcfa3f8f40c9643072c8fd37451e83d6c908f6db314ef516a09ee,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/pydata__xarray-4356/trajectory.json,853ba11b707bcfa3f8f40c9643072c8fd37451e83d6c908f6db314ef516a09ee,0
pydata__xarray-4629,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/pydata__xarray-4629/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__pydata__xarray-4629/trajectory.json,1c9d995d28012f29ca776b46a0dfb53da019f6850d491e50845945b46ec8323d,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/pydata__xarray-4629/trajectory.json,1c9d995d28012f29ca776b46a0dfb53da019f6850d491e50845945b46ec8323d,0
pydata__xarray-3677,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/pydata__xarray-3677/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__pydata__xarray-3677/trajectory.json,f2ab7297ecfec55d1c8afbd9c27fa019de327afa2aab86e7a77f562146908c37,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/pydata__xarray-3677/trajectory.json,f2ab7297ecfec55d1c8afbd9c27fa019de327afa2aab86e7a77f562146908c37,0
sympy__sympy-14711,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/mcts/sympy__sympy-14711/trajectory.json,paper/figure-06/data/inputs/adaptive/claude_mcts__sympy__sympy-14711/trajectory.json,09650c3833ae38cb4284cc5f7d17f0190e29ec26d737300563411d5bd6d8953a,True,claude/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/claude/mcts/sympy__sympy-14711/trajectory.json,2e62ffef77882d72fd83316cea69a1cc8d8bf9fb8778c24a8b8537d26c623660,76
sympy__sympy-15809,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/sympy__sympy-15809/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__sympy__sympy-15809/trajectory.json,3e43fd8ff486414d1b98deaa2881f6655077ff3e1d680ea7e594670b92a14ff7,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/sympy__sympy-15809/trajectory.json,3e43fd8ff486414d1b98deaa2881f6655077ff3e1d680ea7e594670b92a14ff7,0
sympy__sympy-19637,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/sympy__sympy-19637/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__sympy__sympy-19637/trajectory.json,380c0f905dce2d7d1487377543694ea9640e3a3ce64978304497d2ba5291992a,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/sympy__sympy-19637/trajectory.json,380c0f905dce2d7d1487377543694ea9640e3a3ce64978304497d2ba5291992a,0
sympy__sympy-12096,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/mimo/mcts/sympy__sympy-12096/trajectory.json,paper/figure-06/data/inputs/adaptive/mimo_mcts__sympy__sympy-12096/trajectory.json,0de152b95effcec9926963d6fbd5cd0a40ab63a1aa9a590bac8deb547900eea3,True,mimo/mcts,traces/raw/history-20260625/search_mcts_trajectories/traces/swe-search/mimo/mcts/sympy__sympy-12096/trajectory.json,0de152b95effcec9926963d6fbd5cd0a40ab63a1aa9a590bac8deb547900eea3,0
