instance,source,local,sha256,present,n_ckpt,n_restore,schedule_local,schedule_sha256,original_local,original_sha256,cleared_credential_fields
django__django-14997,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14997/trajectory.json,paper/figure-07/data/inputs/deltabox/django__django-14997/trajectory.json,f6b5d943ef2da249ae77ca876cc7590964014713b586cbc9ad6aeb5fa49ade02,True,29,28,paper/figure-07/data/inputs/deltabox/django__django-14997/django__django-14997_p_eagle_mcts30_allstd_realrtt.jsonl,54b22556a8d827be11b23d389540a951bfeb5a255e5e5ad9d972df98a1265a71,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14997/trajectory.json,f6b5d943ef2da249ae77ca876cc7590964014713b586cbc9ad6aeb5fa49ade02,0
django__django-14672,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14672/trajectory.json,paper/figure-07/data/inputs/deltabox/django__django-14672/trajectory.json,ead6727dea4aae4de198a90c9a3d9dd31d53e2b50bcd38e85a93ce8c42482c1d,True,24,26,paper/figure-07/data/inputs/deltabox/django__django-14672/django__django-14672_p_eagle_mcts30_allstd_realrtt.jsonl,592b89fb147975a0f6e467084da7fd587a0e118b6ca71892f09283acc06d1e19,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14672/trajectory.json,ead6727dea4aae4de198a90c9a3d9dd31d53e2b50bcd38e85a93ce8c42482c1d,0
sympy__sympy-17630,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-17630/trajectory.json,paper/figure-07/data/inputs/deltabox/sympy__sympy-17630/trajectory.json,559294072fd0674f4b9254e6f7abeee6230d118da93928487fb88438d8dbedea,True,26,28,paper/figure-07/data/inputs/deltabox/sympy__sympy-17630/sympy__sympy-17630_p_eagle_mcts30_allstd_realrtt.jsonl,48c728886abd8d70c470ff6d99ef2a84d41d15cebe25117a25d4c5c690616a56,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-17630/trajectory.json,559294072fd0674f4b9254e6f7abeee6230d118da93928487fb88438d8dbedea,0
sympy__sympy-22840,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-22840/trajectory.json,paper/figure-07/data/inputs/deltabox/sympy__sympy-22840/trajectory.json,8a442ad00e107f4d4b397229a341979d14963d65f9c6db8cd256421ee344414e,True,28,28,paper/figure-07/data/inputs/deltabox/sympy__sympy-22840/sympy__sympy-22840_p_eagle_mcts30_allstd_realrtt.jsonl,0936cef0fa607cebd007ab62b1a6b4055226a1148434c64f1764bed45ff3c3ac,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-22840/trajectory.json,8a442ad00e107f4d4b397229a341979d14963d65f9c6db8cd256421ee344414e,0
matplotlib__matplotlib-23964,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-23964/trajectory.json,paper/figure-07/data/inputs/deltabox/matplotlib__matplotlib-23964/trajectory.json,d585ac8206cb412f23c587285150215adc1b5d1a0a2dd6c7e8c81f306686551b,True,24,28,paper/figure-07/data/inputs/deltabox/matplotlib__matplotlib-23964/matplotlib__matplotlib-23964_p_eagle_mcts30_allstd_realrtt.jsonl,60917dfdedf8ec4de5a62cb853fdd5adfa2da35125708d1a5928d9385a6d9c77,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-23964/trajectory.json,d585ac8206cb412f23c587285150215adc1b5d1a0a2dd6c7e8c81f306686551b,0
matplotlib__matplotlib-26020,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-26020/trajectory.json,paper/figure-07/data/inputs/deltabox/matplotlib__matplotlib-26020/trajectory.json,41560e4e9ba970e8b59c9a5adde13bf7fdbd75db99f855c8b448e57efccc2c1d,True,26,28,paper/figure-07/data/inputs/deltabox/matplotlib__matplotlib-26020/matplotlib__matplotlib-26020_p_eagle_mcts30_allstd_realrtt.jsonl,b1e1e5a74ae4bb4730d87708e221f6db61d14cebddada4e967c7ec07b88bd8e9,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-26020/trajectory.json,41560e4e9ba970e8b59c9a5adde13bf7fdbd75db99f855c8b448e57efccc2c1d,0
astropy__astropy-7746,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-7746/trajectory.json,paper/figure-07/data/inputs/deltabox/astropy__astropy-7746/trajectory.json,ba768ee11dcefe319f2003916ee950d764271f54080195671349e2703df91e62,True,25,28,paper/figure-07/data/inputs/deltabox/astropy__astropy-7746/astropy__astropy-7746_p_eagle_mcts30_allstd_realrtt.jsonl,a4504e218454c09f7805bed6fac8220b1409920d20899b6b094c2700e789ecf0,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-7746/trajectory.json,ba768ee11dcefe319f2003916ee950d764271f54080195671349e2703df91e62,0
astropy__astropy-14182,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-14182/trajectory.json,paper/figure-07/data/inputs/deltabox/astropy__astropy-14182/trajectory.json,749a1a139dca7234701a876415bd5bff51fbbf6ce54c974762bcde6902f370cd,True,25,28,paper/figure-07/data/inputs/deltabox/astropy__astropy-14182/astropy__astropy-14182_p_eagle_mcts30_allstd_realrtt.jsonl,bf44d5c6450a78725022b5db931e945c6ac0c94b0233ebe9cfb99183243b9636,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-14182/trajectory.json,749a1a139dca7234701a876415bd5bff51fbbf6ce54c974762bcde6902f370cd,0
astropy__astropy-13453,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-13453/trajectory.json,paper/figure-07/data/inputs/deltabox/astropy__astropy-13453/trajectory.json,b29d42cdf745438da8aa51e49ad7f3898f91095017d144fc37738ab23c944da1,True,30,28,paper/figure-07/data/inputs/deltabox/astropy__astropy-13453/astropy__astropy-13453_p_eagle_mcts30_allstd_realrtt.jsonl,310e6b4029ef9878a84f212b2349d11ec1ef005aa1e65684aeae7a5f0fe8a46b,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-13453/trajectory.json,b29d42cdf745438da8aa51e49ad7f3898f91095017d144fc37738ab23c944da1,0
pylint-dev__pylint-7228,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/pylint-dev__pylint-7228/trajectory.json,paper/figure-07/data/inputs/deltabox/pylint-dev__pylint-7228/trajectory.json,f4752b1f994cb11149689f6e221d5e0244e6eb2ef9a8af827259f95491e2604d,True,24,28,paper/figure-07/data/inputs/deltabox/pylint-dev__pylint-7228/pylint-dev__pylint-7228_p_eagle_mcts30_allstd_realrtt.jsonl,21d8bb1860e88535c78229805800daed334b5da37286968d8ad41781efa422e7,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/pylint-dev__pylint-7228/trajectory.json,f4752b1f994cb11149689f6e221d5e0244e6eb2ef9a8af827259f95491e2604d,0
