instance,source,local,sha256,present,pool,base_commit,n_edits,action_local,result_files,applied_events,original_local,original_sha256,cleared_credential_fields
astropy__astropy-14309,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/astropy__astropy-14309/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__astropy__astropy-14309/trajectory.json,49ba878663cdee38700573a4c455b0fab7369012de0e7a2910643b69bc22250c,True,claude/linear,cdb66059a2feb44ee49021874605ba90801f9986,2,paper/figure-09/data/inputs/war/claude_linear__astropy__astropy-14309/claude_linear__astropy__astropy-14309.json,3,6,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/astropy__astropy-14309/trajectory.json,2f2e693e4c1b298574daef0adaa5a2f038948645d6a524ab8281f6485fd742d4,9
astropy__astropy-7606,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/astropy__astropy-7606/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__astropy__astropy-7606/trajectory.json,c4c7461a07f44d1b44fb22c11a2d54bbb3b464ec91112fcd5ae15cf297ac5be7,True,claude/linear,3cedd79e6c121910220f8e6df77c54a0b344ea94,1,paper/figure-09/data/inputs/war/claude_linear__astropy__astropy-7606/claude_linear__astropy__astropy-7606.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/astropy__astropy-7606/trajectory.json,9331f91fac3e39a39bf2f6292e971469498919862be87a1615a10450bcd7c2af,6
django__django-11163,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-11163/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-11163/trajectory.json,3cb97191a9172b5dd5fe512ddb5502914f01c29f6064fea0cc49df5c9ac3c5aa,True,claude/linear,e6588aa4e793b7f56f4cadbfa155b581e0efc59a,1,paper/figure-09/data/inputs/war/claude_linear__django__django-11163/claude_linear__django__django-11163.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-11163/trajectory.json,25bfb50f08725a866921fb4f73d06a25c0fe369b7354771f247d8e8bbdb38de5,6
django__django-11276,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-11276/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-11276/trajectory.json,a33edd9d60424e579664b7f1cf9dcb49ca26e9e5c3fb88feba8d0a764eb187e3,True,claude/linear,28d5262fa3315690395f04e3619ed554dbaf725b,1,paper/figure-09/data/inputs/war/claude_linear__django__django-11276/claude_linear__django__django-11276.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-11276/trajectory.json,2810971f9d3c49f35d88708e4d8eb1d2ede247979a3b114220eb2a683fdd7d14,6
django__django-11532,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-11532/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-11532/trajectory.json,ed1a7bc5ae851e399890924ac06d046db9136218b8dc22f264366a61e4e2c95b,True,claude/linear,a5308514fb4bc5086c9a16a8a24a945eeebb073c,2,paper/figure-09/data/inputs/war/claude_linear__django__django-11532/claude_linear__django__django-11532.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-11532/trajectory.json,177f19b102f53b6436c1700801f730ee2821f6be65f5d6b14589ead83cce7927,9
django__django-11880,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-11880/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-11880/trajectory.json,b47a0f9133feb82acf4af196749d94e2b88b499a93acac72b7fa0543e239bfc8,True,claude/linear,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,1,paper/figure-09/data/inputs/war/claude_linear__django__django-11880/claude_linear__django__django-11880.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-11880/trajectory.json,f0c9b35b8dfb437d46e897fd4ada5e3b43b1628967cf8b8222d989910991a5c8,6
django__django-12143,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-12143/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-12143/trajectory.json,62d5cb81999ba13815a4ae5e77199b2845c8fa2e62541836707aafef6f3c1b6c,True,claude/linear,5573a54d409bb98b5c5acdb308310bed02d392c2,1,paper/figure-09/data/inputs/war/claude_linear__django__django-12143/claude_linear__django__django-12143.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-12143/trajectory.json,c3282cd7f0fcf95a8e881f6eaee440ebefb497cab22e004369fb960c96764613,6
django__django-13089,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-13089/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-13089/trajectory.json,86bac9db19f9125a5c6766e927b3b0333c8ff9124092169a93bb99b762b5f6b3,True,claude/linear,27c09043da52ca1f02605bf28600bfd5ace95ae4,1,paper/figure-09/data/inputs/war/claude_linear__django__django-13089/claude_linear__django__django-13089.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-13089/trajectory.json,a44318d3b82faffcd009a367ff1130e585d9d7eb95b9fb7ff6140d27174a6f7b,6
django__django-13410,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-13410/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-13410/trajectory.json,54eec49c1c66d9f1c502949bb01b0d890449524b1c5b4e1f9290d1418bc1f13c,True,claude/linear,580a4341cb0b4cbfc215a70afc004875a7e815f4,1,paper/figure-09/data/inputs/war/claude_linear__django__django-13410/claude_linear__django__django-13410.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-13410/trajectory.json,dd2d0a45ab6ea2216023ea2f873242cb73912a48a5ec3481aeb94ccf497f2341,6
django__django-13786,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-13786/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-13786/trajectory.json,e49c20a35eb1696d6ba1761dd0506b6ebe5c92c51fed09dee48b4a2bc47fca78,True,claude/linear,bb64b99b78a579cb2f6178011a4cf9366e634438,1,paper/figure-09/data/inputs/war/claude_linear__django__django-13786/claude_linear__django__django-13786.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-13786/trajectory.json,cfd2afc420c6f9817a0d84593968213d2c6f0ca9c53936a45466d45f36d2496d,6
django__django-14373,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-14373/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-14373/trajectory.json,1e747d8601c78d225bcf036938a4e516e3cc996c9708bd9a5421c23e847a00dc,True,claude/linear,b1a4b1f0bdf05adbd3dc4dde14228e68da54c1a3,1,paper/figure-09/data/inputs/war/claude_linear__django__django-14373/claude_linear__django__django-14373.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-14373/trajectory.json,0e3905e152e9dab5829f54a2665efb50887441ed2bef6ece74a165c30eaffbcf,7
django__django-14493,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-14493/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-14493/trajectory.json,2cb37ac68edf39c53e2f43b92fe6741ce89ef2fe0eccdd1604eb8cbd86b1164c,True,claude/linear,7272e1963ffdf39c1d4fe225d5425a45dd095d11,1,paper/figure-09/data/inputs/war/claude_linear__django__django-14493/claude_linear__django__django-14493.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-14493/trajectory.json,51884e187e0fb28aa9744cd60e4792f230be3f697b358b94614ae4ceec8aa045,6
django__django-15467,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/claude/linear/django__django-15467/trajectory.json,paper/figure-09/data/inputs/war/claude_linear__django__django-15467/trajectory.json,e8aae57aa696804820d316a8f29811d2b4e221e405fea46bbd5afdcffae59486,True,claude/linear,e0442a628eb480eac6a7888aed5a86f83499e299,1,paper/figure-09/data/inputs/war/claude_linear__django__django-15467/claude_linear__django__django-15467.json,3,3,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/claude/linear/django__django-15467/trajectory.json,2cd47cc73a2a096ed66c91d2ff6821a1a4712987e6565c01d16d14482ea77b9f,7
