instance,source,local,sha256,present,status,note
django__django-14997,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14997/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14997/trajectory.json,f6b5d943ef2da249ae77ca876cc7590964014713b586cbc9ad6aeb5fa49ade02,True,ok,Separate run; not the published Table 2 E2B row
django__django-14672,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14672/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/django__django-14672/trajectory.json,ead6727dea4aae4de198a90c9a3d9dd31d53e2b50bcd38e85a93ce8c42482c1d,True,ok,Separate run; not the published Table 2 E2B row
sympy__sympy-17630,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-17630/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-17630/trajectory.json,559294072fd0674f4b9254e6f7abeee6230d118da93928487fb88438d8dbedea,True,ok,Separate run; not the published Table 2 E2B row
sympy__sympy-22840,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-22840/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/sympy__sympy-22840/trajectory.json,8a442ad00e107f4d4b397229a341979d14963d65f9c6db8cd256421ee344414e,True,ok,Separate run; not the published Table 2 E2B row
matplotlib__matplotlib-23964,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-23964/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-23964/trajectory.json,d585ac8206cb412f23c587285150215adc1b5d1a0a2dd6c7e8c81f306686551b,True,ok,Separate run; not the published Table 2 E2B row
matplotlib__matplotlib-26020,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-26020/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/matplotlib__matplotlib-26020/trajectory.json,41560e4e9ba970e8b59c9a5adde13bf7fdbd75db99f855c8b448e57efccc2c1d,True,ok,Separate run; not the published Table 2 E2B row
astropy__astropy-7746,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-7746/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-7746/trajectory.json,ba768ee11dcefe319f2003916ee950d764271f54080195671349e2703df91e62,True,ok,Separate run; not the published Table 2 E2B row
astropy__astropy-14182,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-14182/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-14182/trajectory.json,749a1a139dca7234701a876415bd5bff51fbbf6ce54c974762bcde6902f370cd,True,ok,Separate run; not the published Table 2 E2B row
astropy__astropy-13453,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-13453/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/astropy__astropy-13453/trajectory.json,b29d42cdf745438da8aa51e49ad7f3898f91095017d144fc37738ab23c944da1,True,ok,Separate run; not the published Table 2 E2B row
pylint-dev__pylint-7228,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/pylint-dev__pylint-7228/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/pylint-dev__pylint-7228/trajectory.json,f4752b1f994cb11149689f6e221d5e0244e6eb2ef9a8af827259f95491e2604d,True,ok,Separate run; not the published Table 2 E2B row
pylint-dev__pylint-7080,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/pylint-dev__pylint-7080/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/pylint-dev__pylint-7080/trajectory.json,bf592e071f25114f6e8edcdec2893e534194400e1533dc62d940baeeab2f4fc4,True,ok,Separate run; not the published Table 2 E2B row
psf__requests-863,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/psf__requests-863/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-p-eagle-ms/mcts-iter30/psf__requests-863/trajectory.json,e28612f748397f086908761a8768b417a79a0f93b9945d67dff0f395ec11f5b3,True,ok,Separate run; not the published Table 2 E2B row
