instance,ordinary_sha256,portable_sha256,ordinary_action_sha256,portable_action_sha256,ordinary_nodes,portable_nodes,ordinary_llm_calls,portable_llm_calls,action_tree_equal
astropy__astropy-13033,ec7c2a182b64f3969cd420649a39332d8fdc4ca9db98ef9aa1302595738e3567,1ceaf1af1f1a7bc0d8594a52ae4af392d5eb1b22153858d51b5e3f0df26e754d,bd46fb7c29cebb833b25be0a414dba098e1be0d58ba2228079b97163b923a943,7eb2f63c018ef439f51a3af7efbb080ed79223376a5bae6d14890cd08a2edc14,30,30,39,32,False
astropy__astropy-13236,852eee12e04f91df6622c5d258f0664ba599f78f8f53ac53f45c497a45e3a93a,dedb1fe829ff3affe5ac425fb1b95a21062667b946cee7a2fc9f38723ed35ba5,5d110ccd597db0e8cb068e1a728b366c2d4d3843832737fdf71fa00d2117424d,a594ac177d285dccf70a3bb8d91a3d8e0b74c3814d1438f8a94b7d6a6896eb52,30,30,37,34,False
astropy__astropy-13398,16f9f5615872781c45f8446914aac3fa817c623841888429eaf1e77f930f1be0,d1a94158e1f0cb02821ebfb8ace67171e8a46a6f6d0676c0bcf9173bdb840e58,bac313ff8d5356cc22f12e91422685cb898b5864414112a2fc1b8213b76d159f,bead4dd6294801ded05c06fe0447b239b14e0fe9597ff008772cc8236aef783d,30,30,31,32,False
astropy__astropy-13453,573c69763e24357f1b098cb9da02cb4aafbc0ee238fc93334a41340598e60fda,b0689099cb3f35ad09d377098ad6b9874407ae32e8b4eca080e46283b395cfea,240f33dee81329502eea0b6653d3501004e801d8942c46ac81678532ac819155,eff781956ae31894ec957859f8594c095702b8f13949994fc27bff76a4352f17,30,30,34,37,False
astropy__astropy-13579,cef33695f3fb1a4b4d5d3aa227633df118d12c3e259757634e3d1c98f787e8d4,4e080b960f677271f7f2ec7b2fe0c71539ab3acf5d6da3a37f2ed92d222c290b,1104837a2df1c4d00d5cc2c07c8c9e0199f0295e855910e27976edf35f838407,3bb6ffdf6433249fcc16f3559f80772bcc6474c6ff69e18cadfafc6fc9f5b598,30,30,39,39,False
astropy__astropy-14182,6a2ec43f998991f89b4f9e7f042f02da2d064fb40d66b76304d8600d29cadaa3,fdccb5940e1fccfc4c268cbf3f311d9da07e33b2c6bb5ada7f4192df89965499,faaeb51574c055cbed38575b31424900f67924ddc0677bc55d582c226a1757bb,451d237cafa814eb060873dff5965b4e504820a435d7c4908197f017d2e1721a,30,30,35,33,False
astropy__astropy-14309,34b2920fcb538ac971143a99b896006f56527984f3c15d16630f428544287d1e,24d1bf809cdf94146596d1119c247b1cfdf02d4017559a22c1f0809babfe33ff,e091626a871a523d358b3bc91b82f7ab572cd265e4ba17b54c7351e94f91ef9c,f0ff902139d18866b186c1349335d550b1669844a5bb935ea5887d8441803b4f,30,30,41,30,False
astropy__astropy-14365,614851db294d211bf8ffd75f5d546d1a785707e1bf0d4f1f10e5c508446b3b19,4b11df3422d157dc1dc7a6f5bfb949182c68d986a4075ab9915d6ca4a29a92d5,485a9c9db6ea60a0f4ed1694b265541370aedd771619c68fbf01c313a33b7093,a346fe12c0640c9b5b9ffd9b7bf570cc5ca0cc8b7591bd7a752d27d65408dcb9,30,30,31,29,False
astropy__astropy-6938,6f1d5b3bf8ee1558b63f2c21ade43c221bdc1c310ffd038651528094e7138d05,5c05df8ca0ce9195e0ada02151d74e3b8f57817592f1a6b572cca1d155647374,31d80f5dad6882a97c1da3f2a1082226696dee90e29f1304241a6a0116d2c9df,1082c0785bfeb1f0bf4f5f3e823a54f79f083f33ea7a310f58f77ee988152aaa,30,30,29,30,False
astropy__astropy-7746,1c820819bea5bdd29f76bc4865344203b1fe20ae713bc6fdf16acc566b11155c,bad56cccff3f88806eb4edafffd62d7db8d5b4bf72dcae6c9546f8caf9477563,831e91fa43487be250c95110ad17491c82b94ecc5ebdd51b08a5d208ac26bcbb,3fc8886f53540766a6b86b15e172c87016637fb557a380ef0d5c31fabf7d80be,30,30,48,51,False
